entity,indicator,date,value
Ireland,Daily ICU occupancy,2023-01-08,11.0
Ireland,Daily ICU occupancy,2023-01-15,14.0
Ireland,Daily ICU occupancy,2023-01-22,13.0
Ireland,Daily ICU occupancy,2023-01-29,9.0
Ireland,Daily ICU occupancy,2023-02-05,10.0
Ireland,Daily ICU occupancy,2023-02-12,11.0
Ireland,Daily ICU occupancy,2023-02-19,11.0
Ireland,Daily ICU occupancy,2023-02-26,9.0
Ireland,Daily ICU occupancy,2023-03-05,4.0
Ireland,Daily ICU occupancy,2023-03-12,4.0
Ireland,Daily ICU occupancy,2023-03-19,3.0
Ireland,Daily ICU occupancy,2023-03-26,2.0
Ireland,Daily ICU occupancy,2023-04-02,6.0
Ireland,Daily ICU occupancy,2023-04-09,3.0
Ireland,Daily ICU occupancy,2023-04-16,5.0
Ireland,Daily ICU occupancy,2023-04-23,12.0
Ireland,Daily ICU occupancy,2023-04-30,8.0
Ireland,Daily ICU occupancy,2023-05-07,5.0
Ireland,Daily ICU occupancy,2023-05-14,6.0
Ireland,Daily ICU occupancy,2023-05-21,2.0
Ireland,Daily ICU occupancy,2023-05-28,3.0
Ireland,Daily ICU occupancy,2023-06-04,4.0
Ireland,Daily ICU occupancy,2023-06-11,3.0
Ireland,Daily ICU occupancy,2023-06-18,4.0
Ireland,Daily ICU occupancy,2023-06-25,3.0
Ireland,Daily ICU occupancy,2023-07-02,4.0
Ireland,Daily ICU occupancy,2023-07-09,2.0
Ireland,Daily ICU occupancy,2023-07-16,1.0
Ireland,Daily ICU occupancy,2023-07-23,3.0
Ireland,Daily ICU occupancy,2023-07-30,6.0
Ireland,Daily ICU occupancy,2023-08-06,5.0
Ireland,Daily ICU occupancy,2023-08-13,8.0
Ireland,Daily ICU occupancy,2023-08-20,6.0
Ireland,Daily ICU occupancy,2023-08-27,8.0
Ireland,Daily ICU occupancy,2023-09-03,10.0
Ireland,Daily ICU occupancy,2023-09-10,5.0
Ireland,Weekly new hospital admissions,2020-03-15,114.16145520833581
Ireland,Weekly new ICU admissions,2020-03-15,8.934374755434975
Ireland,Weekly new hospital admissions,2020-03-22,285.8999921739192
Ireland,Weekly new ICU admissions,2020-03-22,33.75208240942102
Ireland,Weekly new hospital admissions,2020-03-29,531.0989437953014
Ireland,Weekly new ICU admissions,2020-03-29,92.32187247282808
Ireland,Weekly new hospital admissions,2020-04-05,572.7926926539981
Ireland,Weekly new ICU admissions,2020-04-05,86.36562263587143
Ireland,Weekly new hospital admissions,2020-04-12,478.4854035688509
Ireland,Weekly new ICU admissions,2020-04-12,56.584373451088176
Ireland,Weekly new hospital admissions,2020-04-19,367.3020732789935
Ireland,Weekly new ICU admissions,2020-04-19,50.62812361413153
