module,execution_time (sec),success,timestamp,error,error_short
cowidev.vax.incremental.serbia,8.07,True,2023-09-23T07:00:23,,
cowidev.vax.incremental.south_africa,,,2023-09-23T07:00:15,,
cowidev.vax.incremental.spain,14.7,True,2023-09-23T07:00:30,,
cowidev.vax.incremental.sri_lanka,,,2023-09-23T07:00:15,,
cowidev.vax.incremental.suriname,14.76,True,2023-09-23T07:00:30,,
cowidev.vax.incremental.taiwan,13.54,True,2023-09-23T07:00:29,,
cowidev.vax.incremental.thailand,4.81,True,2023-09-23T07:00:21,,
cowidev.vax.incremental.turkey,,,2023-09-23T07:00:17,,
cowidev.vax.incremental.united_arab_emirates,,,2023-09-23T07:00:17,,
cowidev.vax.incremental.vietnam,,,2023-09-23T07:00:17,,
cowidev.vax.incremental.who,4.82,True,2023-09-23T07:00:21,,
cowidev.vax.incremental.zambia,0.96,True,2023-09-23T07:00:18,,
